instruction,output,financial_score,word_count
UK: Personal finance book for a twenty-something,"Consultant, I commend you for thinking about your financial future at such an early age. Warren Buffet, arguably the most successful investor ever lived, and the best known student of Ben Graham has a very simple advice for non-professional investors:  ""Put 10% of the cash in short-term government bonds and 90% in a very low-cost S&P 500 index fund. (I suggest Vanguard’s.)"" This quote is from his 2013 letter to shareholders. Source: http://www.berkshirehathaway.com/letters/2013ltr.pdf Buffet's annual letters to shareholders are the wealth of useful and practical wisdom for building one's financial future. The logic behind his advice is that most investors cannot consistently pick stock ""winners"", additionally, they are not able to predict timing of the market; hence, one has to simply stay in the market, and win over in the long run.",10,139
Connection between gambling and trading on stock/options/Forex markets,"For stocks, I would not see these as profiting at the expense of another individual.  When you purchase/trade stocks, you are exchanging items of equal market value at the time of the trade. Both parties are getting a fair exchange when the transaction happens. If you buy a house, the seller has not profited at your expense. You have exchanged goods at market prices. If your house plummets in value and you lose $100k, it is not the sellers fault that you made the decision to purchase. The price was fair when you exchanged the goods. Future prices are speculative, so both parties must perform due diligence to make sure the exchange aligns with their interests.  Obviously, this is barring any sort of dishonesty or insider information on the part of either buyer or seller.",10,143
"What to sell when your financial needs change, stocks or bonds?","You are right about the stock and index funds, with dollar cost averaging over several years, the daily price of the security (especially a dividend paying security) will not matter* because your position will have accumulated larger over several entry points, some entries with cheaper shares and some entries with more expensive shares. In the future your position will be so large that any uptick will net you large gains on your original equity. *not matter being a reference to even extreme forms of volatility. But if you had all your equity in a poor company and tanked, never to rise again, then you would still be in a losing position even with dollar cost averaging. If your only other holdings are bonds, then you MAY want to sell those to free up capital.",10,145
Is the stock market too risky for long term retirement funds? Why should a 20- or 30-something person invest in stocks?,"I recommend that people think for themselves and get a multitude of counselors.  The more you understand about what drives the prices of various assets, the better. Getting to good advice for a particular person depends on the financial picture for that person.  For example, if they have a lot of consumer debt, then they probably would be better off paying off the debt before investing, as earning 5% (say) in the stock market year over year will be eaten up by the 18%+ they may be paying on their credit cards. Here's a starter list of the types of information that would be better to have in order to get fair investment advice.",10,135
My investment account is increasingly and significantly underperforming vs. the S&P 500. What should I do?,"The majority (about 80%) of mutual funds are underperforming their underlying indexes. This is  why ETFs have seen massive capital inflows compared to equity funds, which have seen significant withdrawals in the last years.  I would definitively recommend going with an ETF. In addition to pure index based ETFs that (almost) track broad market indexes like the S&P 500 there are quite a few more ""quant"" oriented ETFs that even outperformed the S&P. I am long the S&P trough iShares ETFs and have dividend paying ETFs and some quant ETFS on top (Invesco Powershares) in my portfolio.",10,113
Is it possible to trade CFD without leverage?,"Yes, just set aside the amount of money. If you buy a cfd long in a stock for a 1000$, set aside 1000$. If you buy a cfd short, set aside the same amount and include a stoploss at the value at which the money is depleted. In this case however, you can stil lose more, because of opening gaps. By doing this, you replicate the stock return, apart from the charged interest rate.",10,82
Emulating a 'long straddle' without buying or selling Options?,"A long straddle using equity would be more akin to buying a triple leveraged ETF and an inverse triple leveraged ETF, only because one side will approach zero while the other can theoretically increase to infinity, in a short time span before time decay hits in. The reason your analogy fails is because the delta is 1.0 on both sides of your trade. At the money options, a necessary requirement for a straddle, have a delta of .5 There is an options strategy that uses in the money calls and puts with a delta closer to 1.0 to create an in the money strangle. I'm not sure if it is more similar to your strategy, an analogous options strategy would be better than yours as it would not share the potential for a margin call.",10,144
Why not pay in full upfront for a car?,"There many car loans at zero percent interest.   Finance the car at zero percent, then take your money and invest it. If you want to be super safe buy a CD the same length as the car loan. 5 years you will get 2%.  If you still want safety and a better return take up a asset allocation strategy that moves your cash to risky assets when the market is performing well, then to cash, bonds, or cds when the market under-performs. Now you have your car with a zero percent loan and you are making the return on the money instead of the car company.",10,115
Are long-term bonds risky assets?,"Long-term bonds -- any bonds, really -- can be risky for two main reasons:  return on principal, or return of principal.  The former is a problem if interest rates are low (which they are now in the US) because existing bonds will fall in price if interest rates rise.  The second is a problem if the lender defaults: IOU nothing. No investment is riskless.  Short-term bonds command a lower interest rate than long-term bonds (usually) because of their quicker maturity, but short-term bonds carry risk just like long-term bonds (though the interest rate risk is lower, sometimes quite a bit lower, than for long-term bonds).",10,110
Stocks and Shares IS,"What are the options for “near cash equivalents”?
A: You can actually hold cash in your account as long as the manager has reason to believe it is awaiting investment. As for your question, some near cash equivalents are: It's difficult to go into more detail about which investments are eligible due to the variety of risk characteristics, but you can certainly find investment opportunities in the assets mentioned above. A good money manager can advise you better since he'll have an idea of their risk characteristics as well as tax status.",10,96
What prevents investors from buying high yield stocks and selling them as soon as their dividend is paid out?,"This investment strategy may have tax advantages. In some countries, income received from dividends is taxed as income, whereas profits on share trades are capital gains. If you have already exceeded your tax-free income limit for the year, but not your capital gains tax allowance, it may be preferable to make a dealing profit rather than an investment income. These arrangements are called a bed-and-breakfast.",10,84
If I want to have a low risk portfolio how do I avoid ordinary income treatment from products like savings and MM?,"You have a number of ways to minimize taxes on investment gains, ranging from the behavioral to tax-advantaged accounts to efficient use of the tax code. Here are seven of the most popular:\n1. Practice buy-and-hold investing\n2. Open an IRA\n3. Contribute to a 401(k) plan\n4. Take advantage of tax-loss harvesting\n5. Consider asset location\n6. Use a 1031 exchange\n7. Take advantage of lower long-term capital gains rates.",10,86
Looking for suggestions for relatively safe instruments if another crash were to happen,"Nobody has a ""crash proof"" portfolio -- you can make it ""crash resistant"". You protect against a crash by diversifying and not reacting out of fear when the markets are down. Be careful about focusing on the worst possible scenario (US default) vs. the more likely scenarios. Right now, many people think that inflation and interest rates are heading up -- so you should be making sure that your bond portfolio is mostly in short-duration bonds that are less sensitive to rate risk. Another risk is opportunity cost. Many people sold all of their equities in 2008/2009, and are sitting on lots of money in cash accounts. That money is ""safe"", but those investors lost the opportunity to recoup investments or grow -- to the tune of 25-40%.",10,141
Generate a list of sample hedge fund strategies.,"- Long/Short Equity
- Global Macro
- Event Driven
- Merger Arbitrage
- Relative Value
- Convertible Arbitrage
- Managed Futures
- Fixed Income Arbitrage
- Equity Market Neutral
- Statistical Arbitrage
- Quantitative
- Credit Strategies
- Fund of Funds
- Emerging Markets
- Long-Term Equity
- Multi-Strategy
- Volatility Arbitrage
- Leveraged Buyouts
- Distressed Investing
- Rebalancing Strategy",10,69
"As a Brit, how do I invest in US ETFs","Vanguard has just recently started listing its funds in London but it doesn't look like the High Dividend Yield ETF is available yet. You'll need to either get a broker who can trade on the U.S. markets (there might be tax and exchange rate complications), or wait until Vanguard lists this stock on the London exchange.",10,66
At what interest rate should debt be used as a tool?,"It's tough to borrow fixed and invest risk free. That said, there are still some interesting investment opportunities. A 4% loan will cost you 3% or less after tax, and the DVY (Dow high yielders) is at 3.36% but at a 15% favored rate, you net 2.76% if my math is right. So for .5%, you get the fruits of the potential rise in dividends as well as any cap gains. Is this failsafe? No. But I believe that long term, say 10 years or more, the risk is minimal.",10,101
What should I do with my money?,"Edit: I a in the United States, seek advice from someone who is also in Australia.  I am getting about 5.5% per year by investing in a fund (ticker:PGF) that, in turn, buys preferred stock in banks. Preferred stock acts a bit like a bond and a bit like a stock.  The price is very stable. However, a bank account is FDIC insured (in the USA) and an investment is not. I use the Reinvestment program at Scottrade so that the monthly dividends are automatically reinvested with no commission. However I do not know if this is available outside of the United States.  Investing yealds greater returns but exposes you to greater risk. You have to know your risk tolerance.",10,127
Can the risk of investing in an asset be different for different investors?,"Capping the upside while playing with unlimited downside is a less disciplined investment strategy vis-a-vis a stop-loss driven strategy. Whether it is less risky or high risky also depends on the fluctuations of the stock and not just long-term movements. For example, your stop losses might get triggered because of a momentary sharp decline in stock price due to a large volume transaction (esp more so in small-cap stocks). Although, the stock price might recover from the sudden price drop pretty soon causing a seemingly preventable loss. That being said, playing with stop losses is always considered a safer strategy. It may not increase your profits but can certainly cap your losses.",10,125
What type of low-cost stock index exchange-traded fund (ETF) would give the best long-term total return?,"Small cap and mid cap shares tend to outperform large cap shares in a bull market, but they tend to underperform large cap shares in a bear market. Since the stock markets tend to go up in the long term, this suggests that a low cost small and mid cap index ETF should offer the best long term returns.   Having said that, we are currently in a mature bull market having experienced over seven years without encountering a bear market.  If a bearish outlook is something you worry about, then perhaps a broad market index, which will be heavily weighted towards large cap shares, may be a better choice for you at this time, with an eye toward switching to small and mid cap indices during the next bear market.",10,146
How can I estimate the value of private stock behind employee stock options?,"It is difficult to value a private company. Most of the valuations is based on how one feels the idea would translate into revenue in some future time. The VC firms take into account various factors to determine the price, but more often then not, its their hunch. Even VC don't make money on all picks, very few picks turn out to be stars, most picks lose money they have invested. Few picks just return their money. So if you feel that the idea/product/brand/people are great and would someday make good money, invest into it. Else stay away.",10,111
What does a high operating margin but a small but positive ROE imply about a company?,"The operating margin deals with the ability for a company to make a profit above the costs of running the company and generating sales. While ROE is how much money the company makes relative to the shareholders equity. I'd be willing to bet that if a company has a small ROE then it also has a quite large P/E (price to earnings) ratio. This would be caused by the company's stock being bid up in relation to its earnings and may not necessarily be a bad thing. People expect the high operating margin to help drive increased revenues in the future, and are willing to pay a higher price now for when that day comes.",10,131
Where to Park Proceeds from House Sale for 2-5 Years?,"Your objectives are contradictory and/or not possible. Eliminating the non-taxable objective: You could divide the $100K in 5 increments, making a ""CD ladder"" $25K in 3mo CD (or savings a/c) $25K in 6 mo CD $25K in 9mo CD $25K in 1 yr CD or similar structure (6mo also works well) Every maturing CD you are able to access cash and/or invest in another longest maturity CD, and earn a higher rate of interest. This plan also works well to plan for future interest rates hikes. If you are forced to access (sell CD's)  ALL the $$$ at any time, you will only lose accrued interest, none of the principal.  All FDIC guaranteed. If non-taxable is the highest priority, ""invest"" in a tax-free money market fund....see Vanguard Funds. You will not have FDIC guarantee.",10,144
Does dollar cost averaging apply when moving investments between fund families?,"As mentioned by others, dollar cost averaging is just a fancy term for how many shares your individual purchases get when you are initially adding money to your investment accounts.  Once the money is invested, annual or quarterly rebalancing serves the purpose of taking advantage of higher rates of growth in particular market sectors. You define the asset allocation based on your risk profile, time to retirement, etc., then you periodically sell the shares of the investments that have grown faster than the rest and buy more shares of the investments that are relatively cheaper.",10,106
Options vs Stocks which is more profitable,"The first thing that I learned the hard way (by trying my hand at actual options trading) is that liquidity matters. So few people are interested in trading the same options that I am that it is easy to get stuck holding profitable contracts into expiration unless I offer to sell them for a lot less than they are worth.  I also learned that options are a kind of insurance,and no one makes money (in the long run) buying insurance.  So you can use options to hedge and thereby prevent losses, but you also blunt your gains.  Edit: IMO,options (in the long run) only make money for the brokers as you pay a commission both on the buy and on the sell. With my broker the commission on options is higher than the commission on stocks (or ETFs).",10,145
Is buying a lottery ticket considered an investment?,"logically, yes. legally, no. any reasonable definition of an ""investment"" must include some types of gambling and insurance. lottery tickets specifically are really crappy high risk/high return investment.  obviously most people try to avoid investments with a negative average expected future value, but from a purely semantic perspective anything with a potential future value is an investment. conversely, anyone with a gambling problem should not pretend they are not gambling when making focused investments in high volatility stock options. that said, the irs taxes gains and losses differently depending on whether they are classified as ""gambling"", or just ""crappy investing"". so you will not be able to deduct your gambling losses from your earned income (unlike investment losses which can be deducted up to 3k$ per year).",10,135
What to do with a 50K inheritance [duplicate],"**I would encourage you to clear all your debts and remain debt free, then you can consult a financial manager-for investing purposes that fits your needs and goals.  There are so many investment vehicles out, but the best of all is in real estate which requires lots of money.   For your case I would prefer money market funds.  If don't have time for a specialist you just walk into any stock broker and invest in those shares from well established companies with strong fundamentals.  Buy them when undervalued but with long term goals.  Ask the stock broker about bonds and other ways that the government purposes for domestic borrowings.  Etc.",10,118
Is buying and selling Bitcoin (and other cryptocurrency) legal for a student on F-1 Visa doing OPT in USA?,"Given your clarification that you re only intending to use cryptocurrency as a capital asset & a long term investment vehicle, and not as a business day trading or trading for others, I would say this definitely is NOT illegal. The tax man says cryptocurrency is property. The IRS made this clear in Notice 2014-21.  As long as you report it every time you do transfer it and an income loss/gain is triggered, I see nothing wrong here.",10,97
What low-fee & liquid exchange-traded index funds / ETFs should I consider holding in a retirement portfolio?,"If liquidity and cost are your primary objectives, Vanguard is indeed a good bet.  They are the walmart of finance and the absolute best at minimizing fees and other expenses. Your main portfolio holding should be VTI, the total stock market fund.  Highly liquid and has the lowest fees out there at 0.05%.  You can augment this with a world-minus-US fund if you want.  No need to buy sector or specific geography funds when you can get the whole market for less. Add some bond funds and alternative investments (but not too much) if you want to be fully diversified.",10,117
Exercise an out of the money option,"It is possible to exercise an out of the money option contract. Reasons to do this: You want a large stake of voting shares at any price without moving the market and could not get enough options contracts at a near the money strike price, so you decided to go out of the money. Then exercised all the contracts and suddenly you have a large influential position in the stock and nobody saw it coming. This may be favorable if the paper loss is less than the loss of time value that would have been incurred if you chose contracts near the money at further expiration dates, in search of liquidity. Some convoluted tax reason.",10,122
"How can it be possible that only ~10% of options expire worthless, and only ~10% are exercised?","Consider the futures market. Traders buy and sell gold futures, but very few contracts, relatively speaking, result in delivery. The contracts are sold, and ""Open interest"" dwindles to near zero most months as the final date approaches. The seller buys back his short position, the buyer sells off his longs.  When I own a call, and am 'winning,' say the option that cost me $1 is now worth $2, I'd rather sell that option for even $1.95 than to buy 100 shares of a $148 stock. The punchline is that very few option buyers actually hope to own the stock in the end. Just like the futures, open interest falls as expiration approaches.",10,130
"At Vanguard, can I transfer shares from regular investment account to a Roth IRA?","No, IRA contributions can only be made in the form of cash (rollovers and conversions are different). You'd have to sell the investments in your taxable account, incurring capital gains or losses, then transfer the proceeds to your IRA in cash. Note that the amount you can transfer is subject to the limits on how much one can contribute to the IRA each year. You could look into Vanguard Target Retirement funds, which have a lower $1,000 minimum investment, or Vanguard ETFs.",10,96
How do dividend reinvestment purchases work?,"In order: A seller of the stock (duh!). You don't know who or why this stock was sold. It could be any reason, and is of no concern of yours. It doesn't matter. Investors (pension funds, hedge funds, individual investors, employees, management) sell stock for many reasons: need cash, litigation, differing objectives, sector rotation, etc. To you, this does not matter. Yes, it does affect stock market prices: If you were not willing to buy that amount of shares, and there were no other buyers at that price, the seller would likely choose to lower the price offered. By your purchase, you are supporting the price.",10,112
Why do people always talk about stocks that pay high dividends?,"Dividends indicate that a business is making more profit than it can effectively invest into expansion or needs to regulate cash-flow. This generally indicates that the business is well established and has stabilized in a dominant market position. This can be contrasted against businesses that: Dividends are also given preferential tax treatment. Specifically, if I buy a stock and sell it 30 days later, I will be taxed on the capital gains at the regular income rate (typically 25-33%), but the dividends would be taxed at the lower long-term capital gains rate (typically 15%).",10,105
How can I use asset allocation to maximize my returns?,"Your ideal asset allocation is the mix of investments, from most aggressive to safest, that will earn the total return over time that you need. The mix includes stocks, bonds, and cash or money market securities. The percentage of your portfolio you devote to each depends on your time frame and your tolerance for risk",10,65
Why did I lose 2 cents more than the difference in the stock prices on my Robinhood trade?,"There is a misunderstanding somewhere that your question didn't illuminate. You should have lost $0.04 as you say. Assuming the prices are correct the missing $0.02 aren't covered by a reasonable interpretations of the Robinhood fees schedule. For US-listed stocks: $0 plus SEC fees: 0.00221% of principal ($22.10 per $1,000,000 of principal) plus Trading Activity Fee: $0.000119/share rounded to nearest penny plus short/long term capital gains taxes The total fee rate is 0.002329% or 0.00002329*the price of the trade. With you trades totaling around $11, the fee would be ~0.000256 or ~1/40 of a penny.  The answer is probably that they charge $0.01 for any fraction of a penny. It's difficult to explain as anything other than avarice, so I won't try.",10,140
Whole life insurance - capped earnings,"Pretty simple: When is Cash Value Life Insurance a good or bad idea? It is never a good idea. How can life insurance possibly work as investment? It can't.  Just as car, home, or health insurance is not an investment.  Note for counter example providers:  intent to commit insurance fraud is not an investment. Why not live your life so in 15 or 20 years you are debt free, have a nice emergency fund built and have a few 100 thousand in investments?  Then you can self-insure.  If you die with a paid off home, no debt, 20K in a money market, and 550,000 in retirement accounts would your spouse and children be taken care of?",10,122
Pros/cons of replicating a “fund of funds” with its component funds in my IRA?,"Mostly you nailed it.  It's a good question, and the points you raise are excellent and comprise good analysis. Probably the biggest drawback is if you don't agree with the asset allocation strategy.  It may be too much/too little into stocks/bonds/international/cash.   I am kind of in this boat.  My 401K offers very little choices in funds, but offers Vanguard target funds.  These tend to be a bit too conservative for my taste, so I actually put money in the 2060 target fund.  If I live that long, I will be 94 in 2060.   So if the target funds are a bit too aggressive for you, move down in years.  If they are a bit too conservative, move up.",10,132
"If you want to trade an equity that reflects changes in VIX, what is a good proxy for it?","If you want to trade to gain from short-term volatility, you can use Derivative-based ETFs that try to track the inverse of a broad index like the S&P 500. Note that these ETFs only track the index over a 1 day period, so you shouldn't hold these. If you're looking for a longer-term investment strategy, look at low-beta stocks, which often do well or produce dividend income during volatile times. Examples include McDonald's Corp and utilities like Consolidated Edison.",10,98
Specifically when do options expire?,"Here is the answer from my brokerage: Regular equity monthly options expire on the 3rd Friday of every month. The last time to trade them is by market close at 4 PM Eastern time. The weekly options will expire on the Friday of that week, also with a last trading time of 4 PM Eastern time. Options that expire in the money by .01 or more are automatically exercised. If you are long an option that is out of the money at expiration, it will expire worthless. If you are short an option, even if it expires out of the money, you are still at risk for possible assignment since the long option holder always has the right to exercise an option prior to expiration.*",10,130
Investment strategy for retired couple,"After retirement nobody want to get low on cash. So, the best way to stay safe is to make some investments. Compare the saving with regular expenses and invest the rest. You can put some money in short-term reserves such as bank accounts, market funds, and deposit certificates. You will not be able to make much money on it but, it will ensure the financing of at least two to three years. There’s no need to take the money out from stocks but, if the stocks are doing good and there is a possibility that there will be no further profits then you can think of taking them out otherwise leave it alone.",10,118
Why do shareholders participate in shorting stocks?,"Because they receive compensation (generally interest + dividends) for loaning out the shares. I own an asset X.   Somebody else wants to borrow asset X for some time period.   I agree to loan them asset X in return for some form of compensation (generally a rate of interest plus, in this specific case, any dividend payments).  The reasons why I own asset X, and why they want to borrow asset X are irrelevant to the transaction. The only relevant points are the amount of compensation and the risk that they might default on the loan. This applies equally well to shares as to money or any other kind of loan-able asset.",10,118
How to rescue my money from negative interest?,"The problem is that every option comes with risk - as you note, if you put money in stocks, you could lose (and many stocks are overpriced).  If you put money in bonds, you could lose (many bonds are overpriced).  If you buy precious metals, they could fall further currently.  If you hold cash, central banks might try to ban cash (we'll hear the typical ""This will never happen"" from financial advisers - and they'll be wrong).  Cryptocurrencies are an option, but boy do they fluctuate, so there's risk here too. Those are options and all come with risks, and here's my preferred approach to handling negative interest rates:",10,117
What percentage of my portfolio should be in individual stocks?,"I'm in a remarkably similar situation as yourself.  I keep roughly 80% of my portfolio in low-cost ETFs (16% bond, 16% commodities, 48% stock), with about 20% in 6-8 individual stocks.  Individual stocks are often overlooked by investors.  The benefits of individual stock ownership are that you can avoid paying any holding or management fee (unlike ETFs and mutual funds). As long as you assess the fundamentals (P/B, P/E, PEG etc.) of the company you are buying, and don't over-trade, you can do quite well. I recommend semi-annual re-balancing among asset classes, and an individual stock check up.  I've found over the years that my individual stocks outperform the S&P500 the vast majority of the time, although it often accompanied by an increase in volatility.  Since you're limiting your stake to only 20%, the volatility is not really an issue.",10,150
What is quotational loss in stock market?,"https://www.fool.com/investing/general/2013/07/30/2-types-of-risk-2-types-of-bubbles.aspx (mirror): The Wall Street Journal reviews: What Mr. Bernstein calls ""shallow risk"" is a temporary drop in an asset's market price; decades ago, the great investment analyst Benjamin Graham referred to such an interim decline as ""quotational loss."" ""Deep risk,"" on the other hand, is an irretrievable real loss of capital, meaning that after inflation you won't recover for decades -- if ever. So quotational loss = loss not explained by change of actual value of a firm.",9,86
Ethics and investment,"Markets are amoral. If you don't buy stock in a company that has high growth/earnings, someone else will. By abstaining you will actually make it cheaper for someone else who is interested in making money.  Investing in ""socially responsible"" funds will only ensure that you have less money to make a moral difference in the world when you decide to transition from working to philanthropy. Edit to clarify -- You aren't interested in buying individual stocks directly, that leaves you with two general options: You can make a statement with your investment now, or you can take the better returns and make a difference with your money later.",9,111
How to split stock earnings?,"If you have been a good steward of your friend's money this suggestion will not be too difficult. Pay your friend what his money would have earned in the S&P 500 if you had just invested it in an index fund. Subtract 15% for long-term capital gains. You can use the ticker SPY to see what the price was on the day he gave you the money, versus the price today. If you had helped your friend open an account for himself, you would have given him more than the returns on his money, you would have helped educate him on how to invest for himself.",9,111
Why does capital gains tax apply to long term stock holdings?,"It's a matter of social policy. The government wants people to make long term investments because that would lead to other long-term government goals: employment, manufacturing, economical growth in general. While speculative investments and day-trading are not in any way discouraged, investments that contribute to the economy as a whole and not just the investor are encouraged by the lower tax rates on the profits. While some people consider it to be a ""fig leaf"", I consider these people to be populists and dishonest. Claiming that long term social goals are somehow bad is hypocrisy. Claiming that short-term trading contributes to the economy as a whole is a plain lie.",9,121
Does exposure to financials in corporate bond funds make sense?,One reason a lot of bond ETFs like Financials are because of how financial companies work.  They usually have amazing cash flows due to deposits and fees and therefore have little risk associated with paying their debts in the short term. The rest of VCSH contains companies with low default risk and good cash flow generation as well: This is of course the objective of VCSH: Banks themselves issue a lot of bonds to raise cash to lend for other purposes.  Banks are intermediary and help make funds liquid for investors and spenders.  Hope that helped answer your question.  If not comment below and I'll try to adjust the answer to be more complete.,9,124
"What type of investments should be in a TFSA, given its tax-free growth and withdrawal benefits?","A questoin that I deal with almost every day.  Like most investments it comes down to.....What is the purpose for this money?  If it is truly a rainy day savings account that you may need in the short term, then fixed income investments like savings accounts, GIC's, Bonds, Bond funds and Fixed Income ETF's are ideal as they are taxed very inefficiently outside of any registered plan (therefore tax free in here).  However if you have a plan in place that has all your short term needs covered elsewhere, I believe this is the place that you should be the most aggressive in your overall portfolio.  If that mining stock goes up by 1000% wouldn't it be nice to put all of that gain in your pocket?",9,143
Do I make money in the stock market from other people losing money?,"Day traders see a dip, buy stocks, then sell them 4 mins later when the value climbed to a small peak. What value is created? Is the company better off from that trade? The stocks were already outside of company hands, so the trade doesn't affect them at all. You've just received money from others for no contribution to society. A common scenario is a younger business having a great idea but not enough capital funds to actually get the business going. So, investors buy shares which they can sell later on at a higher value. The investor gets value from the shares increasing over time, but the business also gets value of receiving money to build the business.",9,132
At what point is it most advantageous to cease depositing into a 401k?,"It's probably advantageous to stop depositing into a 401(k) when one is no longer receiving payroll deductions into them. Other than that, why would you want to give up the benefits? Remember, 401(k) is just the kind of account. Most offer a variety of investment options within them, and let you move money between those, so you can rebalance to suit your currently preferred risk/return tradeoffs without having to break them open. You might sometimes want to reduce your contribution for a while, if you have immediate cashflow needs elsewhere... but try to avoid doing that. Compound returns are a good thing, and the earlier the money goes in the more you get back from it.",9,129
Early Retirement Options (UK),"It's highly unlikely that you will be able to achieve 8% and would consider myself lucky to get 4% in the current interest rate environment.  You might want to read some reviews of peer-to-peer lending and even try it out some yourself.  Give yourself something like 2000 Euros/Dollars and a year.  If you truly need 8% to retire, then you are not ready to retire. Here in the US it increases the complexity of your tax forms.  I did an experiment with lending club.   Here is what I found: After 18 months of giving it a try, I decided to abandon this strategy.  My money will receive better and safer returns in a dividend focused mutual fund. However, I encourage you to give it a try yourself.",9,131
Low risk hybrid investment strategy,"I recall similar strategies when (in the US) interest rates were quite a bit higher than now. The investment company put 75% or so into into a 5 year guaranteed bond, the rest was placed in stock index options. In effect, one had a guaranteed return (less inflation, of course) of principal, and a chance for some market gains especially if it went a lot higher over the next 5 years.  The concept is sound if executed correctly.",9,83
Tools to evaluate REITs,"REIT's are a different beast than your normal corporate stock (such as $AAPL).  Here is a good article to get you started.  From there you can do some more research into what you think you will need to truly evaluate an REIT. How To Assess A Real Estate Investment Trust (REIT)  Excerpt: When evaluating REITs, you will get a clearer picture by looking at funds from operations (FFO) rather than looking at net income. If you are seriously considering the investment, try to calculate adjusted funds from operations (AFFO), which deducts the likely expenditures necessary to maintain the real estate portfolio. AFFO is also a good measure of the REIT's dividend-paying capacity. Finally, the ratio price-to-AFFO and the AFFO yield (AFFO/price) are tools for analyzing an REIT: look for a reasonable multiple combined with good prospects for growth in the underlying AFFO. Good luck!",9,148
Where can I find accurate historical distribution data for mutual funds?,"In the case of a specific fund, I'd be tempted to get get an annual report that would disclose distribution data going back up to 5 years.  The ""View prospectus and reports"" would be the link on the site to note and use that to get to the PDF of the report to get the data that was filed with the SEC as that is likely what matters more here.  Don't forget that mutual fund distributions can be a mix of dividends, bond interest, short-term and long-term capital gains and thus aren't quite as simple as stock dividends to consider here.",9,112
irr calculation on stock with dividends,"Re. question 2 If I buy 20 shares every year, how do I get proper IRR? ... (I would   have multiple purchase dates) Use the money-weighted return calculation: http://en.wikipedia.org/wiki/Rate_of_return#Internal_rate_of_return  where t is the fraction of the time period and Ct is the cash flow at that time period. For the treatment of dividends, if they are reinvested then there should not be an external cash flow for the dividend.  They are included in the final value and the return is termed ""total return"".  If the dividends are taken in cash, the return based on the final value is ""net return"". The money-weighted return for question 2, with reinvested dividends, can be found by solving for r, the rate for the whole 431 day period, in the NPV summation. Now annualising And in Excel",9,139
How to rebalance a portfolio without moving money into losing investments,"If you are making regular periodic investments (e.g. each pay period into a 401(k) plan) or via automatic investment scheme in a non-tax-deferred portfolio (e.g. every month, $200 goes automatically from your checking account to your broker or mutual fund house), then one way of rebalancing (over a period of time) is to direct your investment differently into the various accounts you have, with more going into the pile that needs bringing up, and less into the pile that is too high. That way, you can avoid capital gains or losses etc in doing the selling-off of assets. You do, of course, take longer to achieve the balance that you seek, but you do get some of the benefits of dollar-cost averaging.",9,133
Average Price of a Stock,"That metric is not very useful for anything other than very extremely long trading periods. Most strategies or concerned with price movement over much shorter time frames, 15 mins, 1 hr, 4 hr, daily, weekly, monthly. The MA or moving average is a trend following lagging indicator used to smooth out price fluctuations and more accurately reflect the price of trading instrument such as a stock (AAPL), commodity, or currency pair. Traders are generally concerned with current market trends and price action of the instrument they are trading. As such, an extremely long MA (average daily price, over a period of 365 days) are generally not that important.",9,113
Is 6% too high to trade stocks on margin?,Okay so we are assuming that you can sustain 6% or more return on your investments.   Personally I would compare that rate to what lines of credit are going for and do what ever is least expensive.   Either way your risk is the same.  Your net worth is the same.  Your assets will be the same. Your liabilities will be the same. Its just a matter of who you owe it to and what the rate is. Don't be afraid of having a second mortgage.  If the stocks go down either way you have to sell what's left and pay your debt. Or what I should maybe say is don't be more afraid of a line of credit more than margin in your investment account.,9,134
Does an option trading below parity always indicate an arbitrage opportunity?,"Probably but not necessarily.  Your question could also be posed regarding cash & carry for commodities in contango: If I can take delivery on the gold now, short the gold next year and make delivery then, paying the storage fees, is this an arbitrage opportunity? It is in the sense that you know your delivery and the money you will make, but it's not in the sense that until delivery (or execution in the options case) you are still on the hook for the margins due from price fluctuations. Additionally you need to consider what ROI you will make from the trade. Even though it's ""guaranteed"" it may be less than what you can earn from other ""zero risk"" opportunities.",9,131
Whether to prepay mortgage or invest in stocks,"The short answer is to invest it since the rate of return is higher than your mortgage. (Assuming that you can withstand interest rate hikes, meet short term liquidity needs and don't need your $10K in the short or near term). The long answer is if you're comfortable leveraging your house and can put that $10K away for the long term you can reduce your taxes via the Smith Manoeuvre: Alternatively, if you have kids or grandkids and will help them through school, take the government's money by putting it away in an RESP.",9,102
"Is it best to exercise options shares when they vest, or wait","The general rule with stock options is that it's best to wait until expiration to exercise them.  The rationale depends on a few factors and there are exceptions. Reasons to wait: There would be cases to exercise early: Tax implications should be checked with a professional advisor specific to your situation. In the employee stock option plans that I have personally seen, you get regular income tax assessed between exercise price and current price at the time you exercise.  Your tax basis is then set to the current price.  You also pay capital gains tax when you eventually sell, which will be long or short term based on the time that you held the stock. (The time that you held the options does not count.)  I believe that other plans may be set up differently.",9,147
Do individual investors use Google to obtain stock quotes?,"I won't be able to model stock prices using this information.  The pros aren't likely to use Google as much. Even the casual investor is likely to have his own habits. For example, I've come to like how Yahoo permits me to set up a portfolio and follow the stocks I want. And the information that interests me is there, laid out nicely, price, history, insider trades, news etc.  But your effort probably still has some discovery value, as it will help you understand when interest in a company suddenly swells above normal. Nothing wrong with a good project like that. Just don't expect to extract too much market-beating success from it. The pros will eat your lunch, take your money, and not even say thanks. Welcome to Money.SE.",9,138
